Title,Definition,Source
Care order,Your local council can apply for a care order if they think your child is suffering significant harm because you and your child’s other parent either: aren’t giving your child the right amount or kind of care or can’t control your child’s behaviour.,https://www.citizensadvice.org.uk/family/children-and-young-people/protecting-children/court-orders-to-protect-children/
Caring,"You’re probably a carer if all of the following apply: you do things like helping someone to wash, dress and eat; taking them to regular appointments, doing their shopping or keeping them company, you aren’t paid to look after the person you’re caring for, you spend a lot of time caring for the person - there’s no legal definition of this, but it could mean anything from a few hours a day, to 24 hours a day, 7 days a week.",https://www.citizensadvice.org.uk/family/looking-after-people/carers-help-and-support/
Child arrangements order,"If your relationship ends and you have children, you’ll need to agree where your children live. You’ll also need to decide how much time they spend with each of you. This is called making 'child arrangements'.",https://www.citizensadvice.org.uk/family/making-agreements-about-your-children/making-child-arrangements/
Child maintenance,"You're both responsible for the cost of looking after your children after you separate - even if you’re not married or in a civil partnership. If you’re the parent who moves out, you might have to pay maintenance to the parent who looks after the children. It’s usually best if you can arrange this between yourselves - this is called a ‘family based child arrangement’.",https://www.citizensadvice.org.uk/family/how-to-separate1/deciding-what-to-do-when-you-separate/
Civil partnerships,"A civil partnership is a legal relationship which can be registered by two people. Civil partnerships are available to both same-sex couples and opposite-sex couples. Registering a civil partnership will give your relationship legal recognition. This will give you added legal rights, as well as responsibilities.",https://www.citizensadvice.org.uk/family/children-and-young-people/young-people-and-family/
Codicils,"A codicil is a supplement to a will which makes some alterations but leaves the rest of it intact. This might be done, for example, to increase a cash legacy, change an executor or guardian named in a will, or to add beneficiaries. A codicil must be signed by the person who made the will and be witnessed in the same way. However, the witnesses do not have to be the same as for the original will. There is no limit on how many codicils can be added to a will, but they are only suitable for very straightforward changes. ",https://www.citizensadvice.org.uk/family/death-and-wills/wills/
Compensatory rest breaks  ,A compensatory rest break means that you can take the break at a later time. It should be taken within a reasonable time from when you missed the break and should last as long as a specific rest break would have lasted. You might be entitled to compensatory rest breaks if: Read more aboutwho’s entitled to compensatory rest breaksat GOV.UK.,https://www.citizensadvice.org.uk/work/working-hours-and-rest-breaks/rest-breaks-at-work-overview/
Completion  ,"Completion of the purchase usually takes place about four weeks after exchange of contracts, although it can be earlier. On the day agreed for completion:- The solicitor or licensed conveyancer (in England and Wales only) will usually send their account to you on, or soon after, the completion date.",https://www.citizensadvice.org.uk/housing/buying-and-selling-a-home/buying-a-home/
Conditional fee agreement  ,"A conditional fee agreement means that your solicitor will receive no fees if you lose your case. You may, however, have to pay the legal fees and expenses of the other side. Your solicitor will normally ask you to take out insurance to cover this situation. If you win your case, your solicitor's fees and expenses will normally be paid by the other side.",https://www.citizensadvice.org.uk/law-and-courts/claiming-compensation-for-a-personal-injury/personal-injuries/
Council tax arrears  ,"If you’ve missed a Council Tax payment, you’re in 'arrears' - this means you owe money to your council. You shouldread our advice about dealing with Council Tax arrears.",https://www.citizensadvice.org.uk/housing/council-tax/paying-council-tax/
Council Tax Relief  ,You may be able to get a tax-free relief payment for your council tax or contributions you pay instead of council tax. You may be able to get a relief payment if you are serving abroad in the armed forces and pay: Payments are issued at the end of your time abroad. They are based on the number of days served abroad. If you have served tours in Afghanistan and Iraq you should receive payments covering any period of service abroad since 1 October 2007.,https://www.citizensadvice.org.uk/benefits/armed-forces-and-veterans/benefits-and-concessions-for-the-armed-forces-veterans-and-their-families/
Credit checks  ,"Your letting agent and some landlords will do a credit check to see if you might struggle to pay your rent. They must get your permission first. It’s less common for private landlords to do credit checks because they can make it take longer to rent out a property. Most landlords and letting agents can only see basic information, like where you've lived and whether you've been insolvent, bankrupt or have a Debt Relief Order (DRO).",https://www.citizensadvice.org.uk/housing/starting-to-rent-from-a-private-landlord/information-landlords-ask-for-when-you-start-renting/
Credit reference agencies  ,Credit reference agencies are companies which are allowed to collect and keep information about consumers' borrowing and financial behaviour. The 3 credit reference agencies are: Experian -www.experian.co.uk,https://www.citizensadvice.org.uk/debt-and-money/borrowing-money/how-lenders-decide-whether-to-give-you-credit/
Credit scoring  ,"Credit scoring is a system used by creditors to decide how much of a risk it is to lend to you. When you apply for credit, you complete an application form which tells the lender lots of things about you. Each fact about you is given points. All the points are added together to give a score. The higher your score, the more credit worthy you are. Creditors set a threshold level for credit scoring. If your score is below the threshold they may decide not to lend to you or to charge you more if they do agree to lend. Different lenders use different systems for working out your score. They won't t...",https://www.citizensadvice.org.uk/debt-and-money/borrowing-money/how-lenders-decide-whether-to-give-you-credit/
Debts  ,"The person who has died may have left debts, for example, an overdraft on their account or a credit agreement that has not been paid off. When someone dies you should try to contact all their creditors. You should place a notice on The Gazette website. This is the official public record of legal notices in the UK. You should also put a notice in a local paper where the deceased person lived or worked. 

These notices tell creditors they can make a claim against the estate to pay off the debt. If you don't place a notice and creditors come forward after you've paid out the estate, you might hav...",https://www.citizensadvice.org.uk/family/death-and-wills/dealing-with-the-financial-affairs-of-someone-who-has-died/
Disability discrimination  ,"If your claim is about disability discrimination by a school, you need to make your discrimination claim in the First-Tier Tribunal (Health, Education and Social Care Chamber) - (Special Educational Needs and Disability) or SEND instead of the county court. The claim must be made within 6 months of the discrimination happening. If your claim is successful, the tribunal can order the school to, for example, give you an apology, change a policy or carry out staff training. But it can’t order to school to pay you compensation.",https://www.citizensadvice.org.uk/family/education/taking-action-about-discrimination-in-education/
Disabled facilities grants  ,"A disabled facilities grant is a grant that you can get from your local authority for work that is essential to help a disabled person live an independent life. You can, for example, get a disabled facilities grant for the following things:- A local authority must give you a disabled facilities grant if you meet the conditions for getting one.",https://www.citizensadvice.org.uk/housing/improving-your-home/help-with-home-improvements/
Discrimination  ,"It's against the law for you to be treated unfairly because of age, disability, gender reassignment, pregnancy or childbirth, race, religion, sex or sexual orientation when benefits are paid to you. Also, the Department for Work and Pensions, HM Revenue and Customs and most local authorities have policies which say they will not discriminate against you because of other things, for example, if you have caring responsibilities. If you feel that you've been discriminated against when you are paid benefits or tax credits, you can make a complaint about this. For more about discrimination, see our...",https://www.citizensadvice.org.uk/benefits/benefits-introduction/payment-of-benefits-and-tax-credits/
Dishonesty Register  ,"You may have been told by Retail Loss Prevention that your details will be kept on a national database of incidents of dishonesty. They may also have told you that the information can be used by companies, for example in making a decision about whether to employ you. You have a right to find out what information is held about you on the database. Any information held about you on the database must have been proven, relevant and relate to you.",https://www.citizensadvice.org.uk/law-and-courts/legal-system/a-business-takes-legal-action-against-you-to-recover-losses-for-theft/
Dissolution,"If you want to end your civil partnership, you can apply for a dissolution. You don’t need to give a reason to get a divorce or dissolution - this is sometimes called ‘no fault’.",https://www.citizensadvice.org.uk/family/how-to-separate1/getting-a-divorce-or-dissolution/
Divorce,"If you want to end your marriage, you can apply for a divorce. You don’t need to give a reason to get a divorce or dissolution - this is sometimes called ‘no fault’.",https://www.citizensadvice.org.uk/family/how-to-separate1/getting-a-divorce-or-dissolution/
Domestic violence,"If your partner is violent towards you or your children, you can apply to a court for protection. You can do this whether you are a civil partner or living together. However, if you aren't a civil partner, there are fewer things the court can do to protect you. If a man rapes his partner, he can be convicted of this offence. This applies whether you are civil partners or living together. He can also be convicted of sexual assault. A woman cannot legally rape another woman, although she may be charged with other offences, such as sexual assault.",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/living-together-and-civil-partnership-legal-differences/
Donation of organs  ,"The person who died may have wanted to donate organs for transplant. This will be easier if they were on the NHS Organ Donor Register, carried a donor card and had discussed the donation plans with their family. Relatives will still be asked to give their consent before donation. Most organ donations come from people who have died while on a ventilator in a hospital intensive care unit. For more information about organ donation and transplantation, contact:",https://www.citizensadvice.org.uk/family/death-and-wills/what-to-do-after-a-death/
Economic abuse,"Economic abuse happens where a perpetrator uses financial means to control you and may include any of the following: If you have been pressurised or bullied to take out loans or credit in your name, the debt may be unenforceable -you should talk to an adviser.",https://www.citizensadvice.org.uk/family/gender-violence/domestic-violence-and-abuse/
Emergency protection order,"Your local council will apply for an emergency protection order if they think both of the following apply: your child is suffering significant harm - or is about to suffer significant harm unless your local council gets involved, they must take action straight away because the situation is urgent.",https://www.citizensadvice.org.uk/family/children-and-young-people/protecting-children/court-orders-to-protect-children/
Exceptional case funding  ,"If you can't get legal aid, there's a small chance you might get help through 'exceptional case funding'. You canfind out how to apply for exceptional case funding without using a legal professional on the Public Law Project website. You canask your nearest Citizens Adviceif they can help you apply.",https://www.citizensadvice.org.uk/law-and-courts/legal-system/finding-free-or-affordable-legal-help/
Family visas  ,"There weren't any changes to family visas in the white paper. The government have said there will be a consultation on family visas - we don’t know when this will happen. If you’re in the UK on a family visa, you need to live in the UK for 5 years to apply for indefinite leave to remain. We don’t expect this to change to 10 years after the rules change. You cancheck the rules for applying for indefinite leave to remain. The new rules will mean that it might be harder for family members to get visas. This includes if they:",https://www.citizensadvice.org.uk/immigration/how-changes-to-immigration-rules-might-affect-you/
Female genital mutilation,"Female genital mutilation (FGM) is when part or all of a girl or young woman's genitals are removed or injured for non-medical reasons. It's sometimes called ‘female genital cutting’ or ‘female circumcision’. Some communities use local names for referring to FGM, for example ‘sunna’. FGM is a criminal offence. ",https://www.citizensadvice.org.uk/family/gender-violence/domestic-violence-and-abuse/
Final charging orders  ,"After you’ve been served with an interim charging order, you have 28 days to object to a final charging order. You must send your objection in writing to the court and the creditor. If you send an objection, there’ll be a hearing at your local county court, and a judge will decide whether to make the final charging order. If you don’t send any objections, the judge will decide whether the charging order can be made final without a hearing. If a judge has already arranged a hearing after making a decision about the interim charging order, you must send your objection to the court and the credit...",https://www.citizensadvice.org.uk/debt-and-money/action-your-creditor-can-take/charging-orders/
Financial Conduct Authority  ,"The Financial Conduct Authority (FCA) is the body responsible for regulating banks and building societies. They aren't able to get involved in individual complaints, recommend firms or give legal or financial advice. However, the FCA is interested in hearing about cases where a bank or building society appears to be in breach of its obligations. The FCA may, where appropriate, fine the bank or building society.",https://www.citizensadvice.org.uk/debt-and-money/banking/getting-a-bank-account/
Forced marriage,"A forced marriage is where you are pressurised into it against your will. You may be emotionally blackmailed or physically threatened usually by your family. It is not the same as an arranged marriage where both parties are aged over 18 and agree to get married. From 27 February 2023, it's illegal for someone to arrange your marriage if you're under 18 years old. It will be a forced marriage even if you agree to the marriage and weren't pressured into it. In England and Wales, forced marriage is a criminal offence. ",https://www.citizensadvice.org.uk/family/gender-violence/domestic-violence-and-abuse/
Forced Marriage Protection Orders,"If you are being forced into marriage or are already in a forced marriage, you can apply to the county court for a Forced Marriage Protection Order to protect you. A Forced Marriage Protection Order can stop families from doing certain things, including: It can also require family members to reveal where you are. The police can also apply for a Forced Marriage Protection Order. If someone breaks the order, it is a criminal offence and they could be sent to prison for up to five years in England and Wales.",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/getting-married/
Graduate visas  ,"If you’re a student and you graduate from a UK university, you can currently apply for a ‘Graduate visa’ to stay in the UK for 2 or 3 years. From 1 January 2027, if you graduate with a PhD you’ll still be able to stay in the UK for 3 years. If you graduate with a Bachelor’s or Master’s degree, you’ll only be able to stay in the UK for 18 months. If you’re already on a Graduate visa, the new rules will not affect you.",https://www.citizensadvice.org.uk/immigration/how-changes-to-immigration-rules-might-affect-you/
Harassment and stalking,"Harassment happens when you receive unwanted behaviour from another person which alarms or distresses you. Examples of harassment include malicious phone calls, threatening texts, threatening and insulting language and damage to property. Stalking is a form of harassment and might include behaviour such as: It's a criminal and civil offence for another person to harass or stalk you. You should report the matter to the police, they might be able to apply for a stalking protection order (SPO).",https://www.citizensadvice.org.uk/family/gender-violence/domestic-violence-and-abuse/
Honour-based abuse,"Honour-based abuse is defined as an incident or crime which has or may have been committed to protect or defend the honour of the family and or community. Honour-based abuse happens where a person is punished by their family or community for doing things that are not in keeping with the traditional beliefs of their culture. For example, you may be a victim of honour-based abuse because you: Honour-based abuse may include domestic abuse, sexual or psychological abuse, assault, forced marriage or sending someone back to their country of origin. ",https://www.citizensadvice.org.uk/family/gender-violence/domestic-violence-and-abuse/
Housing benefit,"You might be able to get Housing Benefit to help pay your rent if you’re on a low income or you claim benefits. Housing Benefit is paid by your local council. Most people can’t make a new claim for Housing Benefit. You can only make a new claim for Housing Benefit if one of the following applies: you, and your partner if you've got one, have reached State Pension age; you or your partner has been getting Pension Credit since before 15 May 2019; you live in temporary accommodation; your landlord’s a county council, charity or housing association and they give you care or support; you get accommodation from a county council, charity or housing association because you need care or support.To claim Housing Benefit you usually have to: have a low income or be claiming other benefits
be at least 16 years old – if you’ve been in care you’ll need to be at least 18; either have less than £16,000 in savings or be getting the guarantee part of Pension Credit. If you live with your partner, only one of you needs to claim Housing Benefit – it doesn’t usually matter who makes the claim. You’ll need to put your and your partner’s details on the form. Your local council will look at both your incomes to decide how much Housing Benefit you’ll get. There are other circumstances that might affect whether or not you can get Housing Benefit.",https://www.citizensadvice.org.uk/benefits/help-if-on-a-low-income/housing-benefit/help-with-your-housing-benefit-claim/check-if-you-can-get-housing-benefit/
Illegal eviction  ,"You have the right not to be harassed or illegally evicted by your landlord. Harassment and illegal eviction are criminal offences, which means that your landlord could be prosecuted. They are also civil offences, so you could take legal action in the county court to stop your landlord's behaviour and/or claim compensation for what you've suffered.",https://www.citizensadvice.org.uk/housing/university-accommodation/student-housing-rights-and-responsibilities-in-halls/
Illegal money lending  ,"You may have borrowed money from a money lender who is not FCA authorised. These lenders are often called loan sharks and they may physically or verbally threaten you if you can't pay back the money. They also charge extremely high rates of interest, which means you may end up owing much more money than you originally borrowed. It's important to remember that loan sharks are breaking the law by lending you money in this way. They can’t enforce the high rates of interest they are trying to charge. You can’t be legally made to pay back the money and you have not broken the law if you don't pay i...",https://www.citizensadvice.org.uk/debt-and-money/action-your-creditor-can-take/harassment-by-creditors/
Inheritance tax,"You have to inform HMRC of the death, in case inheritance tax needs to be paid. You do not have to do this if the estate is an ‘excepted estate’.",https://www.citizensadvice.org.uk/family/death-and-wills/dealing-with-the-financial-affairs-of-someone-who-has-died/
Inherited property,"When someone dies, another person inherits or buys their property. You’ll need to update the property records to show who now owns the property. You can update property records on GOV.UK. If you sell the property you’ll probably need the help of a conveyancer. A conveyancer is a legal professional who specialises in transferring property.",https://www.citizensadvice.org.uk/family/death-and-wills/dealing-with-the-financial-affairs-of-someone-who-has-died/
Inquests,An inquest is a legal inquiry into a death. Only a coroner can order an inquest and relatives have no right to insist on one. It is held in public (sometimes with a jury) by a coroner where the death was violent or unnatural or took place in prison or police custody or where the cause of death is still uncertain after a post-mortem. An inquest may take place into a death which took place abroad if the body has been returned to the UK.,https://www.citizensadvice.org.uk/family/death-and-wills/what-to-do-after-a-death/
Interim charging orders  ,"An interim charging order is usually made by a court officer without a hearing. There'll only be a hearing with a judge if either: If the decision is made by a court officer, your creditor has to send you a copy of the interim order within 21 days of the order being made. Your creditor should also send a copy of the interim order to:",https://www.citizensadvice.org.uk/debt-and-money/action-your-creditor-can-take/charging-orders/
Islamic mortgage  ,"With an Islamic mortgage, none of the monthly payments includes interest. Instead, the lender makes a charge for lending you the capital to buy your property which can be recovered in one of a number of different ways, for example, by charging you rent. You can find further information on this type of mortgage from the Money Advice Service website atwww.moneyadviceservice.org.uk.",https://www.citizensadvice.org.uk/housing/buying-and-selling-a-home/buying-a-home/
Job seeker's allowance,"You might be able to get 'new style' Jobseeker’s Allowance (JSA) for up to 6 months while you look for a job. You can get it while you’re out of work, or if you’re working less than 16 hours a week. ou'll usually need to show you're looking for a full time job to claim new style JSA - this is 35 hours or more a week. You can look for a job with fewer hours and still be eligible if: you're a carer; you’re responsible for children aged under 13; you can’t work full time because of a disability or illness. ",https://www.citizensadvice.org.uk/benefits/help-if-on-a-low-income/jobseekers-allowance-jsa/before-you-claim-jsa/check-if-you-can-get-jsa/
Jointly-owned property  ,"Couples may jointly own their home. There are two different ways of jointly owning a home. These are beneficial joint tenancies and tenancies in common. If the partners were beneficial joint tenants at the time of the death, when the first partner dies, the surviving partner will automatically inherit the other partner's share of the property. However, if the partners are tenants in common, the surviving partner does not automatically inherit the other person's share. ",https://www.citizensadvice.org.uk/family/death-and-wills/who-can-inherit-if-there-is-no-will-the-rules-of-intestacy/
Jury service  ,"Your employer must give you time off for jury service, unless it would cause a serious problem for them. They could be fined for contempt of court if they refuse to give you time off for jury service, even if you’re self-employed.",https://www.citizensadvice.org.uk/work/time-off-work/time-off-work-overview/
Lasting power of attorney,"If you want someone to look after your affairs for a long period of time, you can give them a lasting power of attorney (LPA). An LPA is different from an ordinary power of attorney because: The LPA replaces the enduring power of attorney (EPA) – see under headingEnduring power of attorney.",https://www.citizensadvice.org.uk/family/looking-after-people/managing-affairs-for-someone-else/
Letters of administration,"In some circumstances, someone who wants to deal with the estate of someone who has died will have to apply for letters of administration, rather than probate. This person is called anadministrator. You have to apply for letters of administration if: There are strict rules about who can be an administrator. If there is a valid will, you can apply for letters of administration if: If there is no valid will, and you are the next-of-kin, you can apply to be an administrator in the following order of priority:",https://www.citizensadvice.org.uk/family/death-and-wills/dealing-with-the-financial-affairs-of-someone-who-has-died/
Local council care,"You can only be taken into care if you are under 18 and the local council has obtained a court order. You have a right to know why you are in care, under which law and how long you are likely to remain there. You can be accommodated by a local council without a court order if a parent requests it or gives permission. However, the local council must take your wishes into account.",https://www.citizensadvice.org.uk/family/children-and-young-people/young-people-and-family/
Marriage,"In the United Kingdom, opposite sex couples can marry in a civil or religious ceremony. Same sex couples can marry in a civil ceremony, but can only get married in a religious ceremony if the religious organisation has agreed to marry same sex couples. Same sex couples cannot marry in the Church of England or the Church in Wales. Same sex couples who marry abroad under foreign law are recognised as being married in England and Wales. All couples can marry if they're both aged 18 or over and are free to marry, that is, if they're single, widowed or divorced, or if they were in a civil partnership which has been dissolved.",https://www.citizensadvice.org.uk/family/children-and-young-people/young-people-and-family/
Marriages by proxy  ,"A marriage by proxy is one where one or both partners are not physically present at the ceremony. Marriages taking place under United Kingdom law are not valid if they are by proxy. However, United Kingdom law may in some circumstances consider a proxy marriage to be valid if both of the partners are ‘domiciled’ in a country which recognises marriages by proxy. The concept of ‘domicile’ is very complicated. If you need to know about the validity of a marriage by proxy you will need to get specialist legal advice. You canfind a solicitoron the Resolution website.",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/getting-married/
Mediation,"Mediation is a way of sorting any differences between you and your ex-partner, with the help of a third person who won’t take sides. The third person is called a mediator. They can help you reach an agreement about issues with money, property or children.",https://www.citizensadvice.org.uk/family/how-to-separate1/mediation-to-help-you-separate/
Medical consent,"Nobody is entitled to give consent to medical treatment for another adult. However, in practice, doctors do usually discuss decisions with the patient's family and this should not usually rule out a partner who lives with you but is not your civil partner.",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/living-together-and-civil-partnership-legal-differences/
Miscarriages and pregnancy loss  ,"You don't need to register the loss of a baby if the pregnancy ends before 24 weeks. If a baby lives for even a short time after being born, someone might need to register the birth and death. For more information, seeNeonatal and perinatal deaths. You can get a baby loss certificate in memory of your baby if the pregnancy ended either:",https://www.citizensadvice.org.uk/family/death-and-wills/what-to-do-after-a-death/
Nationality and immigration  ,The law on nationality and immigration is complicated.,https://www.citizensadvice.org.uk/law-and-courts/civil-rights/young-people-s-rights/
Neonatal and perinatal deaths  ,"If the baby lives for even a short time after being born and then dies, this is called a neonatal or perinatal death. A neonatal death is where the baby dies within 28 days of being born, whatever the length of the pregnancy. A perinatal death is where the baby is born after the 24th week of pregnancy, but dies within 7 days of being born.",https://www.citizensadvice.org.uk/family/death-and-wills/what-to-do-after-a-death/
New Build Ownership  ,"This scheme provides help to eligible first time buyers on middle incomes who cannot afford to purchase a suitable home without help. You must be able to meet the long-term financial commitment of home ownership. Consideration may be given, on a case by case basis, to first time buyers ‘in their own right’, for example, if you have sold your jointly owned property as a result of divorce. The properties are for sale on a shared equity basis. You must show that you can afford to purchase approximately 50-70% of the purchase price through a mortgage, savings, or a combination of both. Homeswithin...",https://www.citizensadvice.org.uk/housing/buying-and-selling-a-home/buying-a-home/
Next of kin,"In some situations, for example, when you go into hospital or complete a life insurance form, you may be asked to give the name of your next of kin. Next of kin has no legal meaning but, in practice, hospitals and other organisations generally recognise spouses and close blood relatives as next of kin. However, sometimes couples who live together aren't recognised as being next of kin.",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/living-together-and-marriage-legal-differences/
Non-binary,‘Non-binary’ describes people who don’t identify as a man or a woman. The law says you have the protected characteristic of gender reassignment if you’re transitioning between sexes. It doesn’t mention gender or gender identity. ,
Non-molestation order,"If your ex-partner is threatening, violent or abusive, you might urgently need them to move out so you can stay in your home and be safe. You should apply for a 'non-molestation order' to protect you or your children from being harmed by your ex-partner.",https://www.citizensadvice.org.uk/family/if-you-were-living-together/your-ex-partner-is-trying-to-make-you-leave/
Notice and eviction  ,"Your landlord can only evict you by getting a possession order from the court. Your landlord doesn't have to give the court a reason as to why they want to evict you and the court will make a possession order as long as your landlord has followed the correct legal process. You have the right to stay in your accommodation until the court bailiffs enforce the possession order and evict you. However, if you do stay until this happens, you still have to pay rent and you may also have to pay the cost of the legal proceedings. If you have a periodic agreement, that is, one that runs from one rent pe...",https://www.citizensadvice.org.uk/housing/university-accommodation/student-housing-rights-and-responsibilities-in-halls/
Occupation order,"If your ex-partner is threatening, violent or abusive, you might urgently need them to move out so you can stay in your home and be safe. You should apply for an 'occupation order' to give you the right to stay in your home, get your ex-partner to leave and stop them coming back",https://www.citizensadvice.org.uk/family/if-you-were-living-together/your-ex-partner-is-trying-to-make-you-leave/
Ordinary power of attorney  ,"If you want someone to look after your financial affairs for a temporary period, you can give them an ordinary power of attorney. You might want to give someone an ordinary power of attorney if: You should not use an ordinary power of attorney if: This is because you won't be able to continue using an ordinary power of attorney if you lose your mental capacity.",https://www.citizensadvice.org.uk/family/looking-after-people/managing-affairs-for-someone-else/
Outright possession orders  ,"An outright possession order might have been granted for one of the following reasons: An outright possession order will say that you have to leave the property by a certain date. If you don’t leave by this date, your landlord will need to apply for a ‘warrant of eviction’. It might be possible to persuade your landlord not to apply for the warrant of eviction. For example, your financial circumstances might have changed or your Housing Benefit or Universal Credit housing costs claim might have come through so you can pay the arrears.",https://www.citizensadvice.org.uk/debt-and-money/rent-arrears/eviction-for-rent-arrears-debt-and-money/
Paid holiday  ,You’re usually entitled to a minimum of 5.6 weeks' paid holiday a year. You cancheck if you’re entitled to holiday pay.,https://www.citizensadvice.org.uk/work/time-off-work/time-off-work-overview/
Paid sick leave  ,You might be entitled to sick pay when you’re off sick or can’t work because of an injury. It depends on your employment status. You cancheck if you’re entitled to sick pay.,https://www.citizensadvice.org.uk/work/time-off-work/time-off-work-overview/
Parental responsibility,"Parents with parental responsibility are entitled to have a say in important decisions about a child's life such as the child's home, health, education, religion, name, money and property. Parental responsibility lasts until a child reaches 18.",https://www.citizensadvice.org.uk/family/living-together-marriage-and-civil-partnership/living-together-and-marriage-legal-differences/
Pension credit,"If you've reached State Pension age, you might be able to apply for Pension Credit. Pension Credit is a weekly benefit to boost your income. It’s based on how much money you have coming in. There are 2 parts to Pension Credit. They're called: Guarantee Credit, Savings Credit. You might get one or both parts.
Guarantee Credit tops up your weekly income to a minimum amount. Savings Credit is a small top-up for people who have a modest amount of income or savings. It’s only available if you reached State Pension age before 6 April 2016. If you think you won't get much Pension Credit, it could still be worth applying. If you get Pension Credit, you can usually get other benefits like a Council Tax Reduction.",https://www.citizensadvice.org.uk/benefits/help-if-on-a-low-income/pension-credit/before-you-claim-pension-credit/check-if-you-can-get-pension-credit/
